# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
dome	def	def	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
dome	8	def	INVALID	4	4	n/a	1	280	836	560	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	10	def	VALID	0	2	0	1	518	1548	1032	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	12	def	VALID	0	2	0	1	428	1278	852	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	14	def	VALID	0	2	0	1	728	2178	1452	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
dome	16	def	VALID	0	2	0	1	648	1938	1292	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	19	def	VALID	0	2	0	1	1212	3630	2420	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	24	def	VALID	0	2	0	1	1016	3042	2028	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
dome	26	def	VALID	0	2	0	1	1526	4572	3048	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	32	def	VALID	0	2	0	1	1224	3666	2444	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	48	def	VALID	0	2	0	1	2120	6354	4236	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	64	def	VALID	0	2	0	1	3272	9810	6540	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	def	0.2	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	def	0.3	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
dome	def	0.5	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	def	0.8	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	def	0.9	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	3	f6d06ecb	0	-	1
dome	def	1.0	VALID	0	2	0	1	436	1302	868	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
dome	def	2.0	VALID	0	2	0	1	532	1590	1060	1	1e-6	3	1	yes	4	f6d06ecb	0	-	1
hole_plate	def	def	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	8	def	INVALID	8	4	n/a	1	288	868	584	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
hole_plate	10	def	VALID	0	0	1	1	568	1704	1136	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	12	def	VALID	0	0	1	1	440	1320	880	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	14	def	VALID	0	0	1	1	812	2436	1624	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	16	def	VALID	0	0	1	1	664	1992	1328	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	19	def	VALID	0	0	1	1	1212	3636	2424	0	1e-6	3	1	yes	7	f6d06ecb	0	-	1
hole_plate	24	def	VALID	0	0	1	1	1040	3120	2080	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	26	def	VALID	0	0	1	1	1760	5280	3520	0	1e-6	3	1	yes	8	f6d06ecb	0	-	1
hole_plate	32	def	VALID	0	0	1	1	1512	4536	3024	0	1e-6	3	1	yes	7	f6d06ecb	0	-	1
hole_plate	48	def	VALID	0	0	1	1	2748	8244	5496	0	1e-6	3	1	yes	10	f6d06ecb	0	-	1
hole_plate	64	def	VALID	0	0	1	1	4360	13080	8720	0	1e-6	3	1	yes	15	f6d06ecb	0	-	1
hole_plate	def	0.2	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
hole_plate	def	0.3	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	def	0.5	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
hole_plate	def	0.8	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	def	0.9	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	5	f6d06ecb	0	-	1
hole_plate	def	1.0	VALID	0	0	1	1	328	984	656	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
hole_plate	def	2.0	VALID	0	0	1	1	424	1272	848	0	1e-6	3	1	yes	6	f6d06ecb	0	-	1
bevel_boss	def	def	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	8	def	VALID	0	2	0	1	56	162	108	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	10	def	VALID	0	2	0	1	62	180	120	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	12	def	VALID	0	2	0	1	68	198	132	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	14	def	VALID	0	2	0	1	75	219	146	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	16	def	VALID	0	2	0	1	80	234	156	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	19	def	VALID	0	2	0	1	89	261	174	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	24	def	VALID	0	2	0	1	104	306	204	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	26	def	VALID	0	2	0	1	110	324	216	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	32	def	VALID	0	2	0	1	128	378	252	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	48	def	VALID	0	2	0	1	176	522	348	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	64	def	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	def	0.2	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	def	0.3	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	def	0.5	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	def	0.8	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	def	0.9	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
bevel_boss	def	1.0	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
bevel_boss	def	2.0	VALID	0	2	0	1	119	351	234	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cyl_control	def	def	VALID	0	2	0	1	180	534	356	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cyl_control	8	def	VALID	0	2	0	1	48	138	92	0	1e-6	3	1	yes	3	f6d06ecb	0	-	1
cyl_control	10	def	VALID	0	2	0	1	80	234	156	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
cyl_control	12	def	VALID	0	2	0	1	96	282	188	0	1e-6	3	1	yes	4	f6d06ecb	0	-	1
