# model	fn	r	valid	nonman	chi	genus	comp	v	e	f	warn	tol	runs	distinct	agree	secs	bin	nmvert	throat	wantcomp
lbracket	def	1.0	VALID	0	2	0	1	431	1287	858	0	1e-6	3	1	yes	4	591ee703	0	-	1
lbracket	def	1.5	VALID	0	2	0	1	284	846	564	0	1e-6	3	1	yes	3	591ee703	0	-	1
lbracket	def	2.0	VALID	0	2	0	1	239	711	474	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	def	VALID	0	2	0	1	254	756	504	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	0.2	VALID	0	2	0	1	1838	5508	3672	0	1e-6	3	1	yes	3	591ee703	0	-	1
box_step	def	0.3	VALID	0	2	0	1	1262	3780	2520	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	0.5	VALID	0	2	0	1	746	2232	1488	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	0.8	VALID	0	2	0	1	512	1530	1020	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	0.9	VALID	0	2	0	1	458	1368	912	0	1e-6	3	1	yes	3	591ee703	0	-	1
box_step	def	1.0	VALID	0	2	0	1	398	1188	792	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	1.5	VALID	0	2	0	1	284	846	564	0	1e-6	3	1	yes	4	591ee703	0	-	1
box_step	def	2.0	VALID	0	2	0	1	224	666	444	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib	def	def	VALID	0	2	0	1	516	1542	1028	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	0.2	VALID	0	2	0	1	2876	8622	5748	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	0.3	VALID	0	2	0	1	1964	5886	3924	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	0.5	VALID	0	2	0	1	1196	3582	2388	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	0.8	VALID	0	2	0	1	812	2430	1620	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib	def	0.9	VALID	0	2	0	1	740	2214	1476	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	1.0	VALID	0	2	0	1	176	522	348	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib	def	2.0	VALID	0	2	0	1	420	1254	836	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	def	VALID	0	2	0	1	280	834	556	0	1e-6	3	1	yes	3	591ee703	0	-	1
pocket	def	0.2	VALID	0	2	0	1	2356	7062	4708	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	0.3	VALID	0	2	0	1	1612	4830	3220	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	0.5	VALID	0	2	0	1	964	2886	1924	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	0.8	VALID	0	2	0	1	652	1950	1300	0	1e-6	3	1	yes	3	591ee703	0	-	1
pocket	def	0.9	VALID	0	2	0	1	592	1770	1180	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	1.0	VALID	0	2	0	1	508	1518	1012	0	1e-6	3	1	yes	4	591ee703	0	-	1
pocket	def	1.5	VALID	0	2	0	1	364	1086	724	0	1e-6	3	1	yes	3	591ee703	0	-	1
pocket	def	2.0	VALID	0	2	0	1	280	834	556	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	def	VALID	0	2	0	1	442	1320	880	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	0.2	VALID	0	2	0	1	648	1938	1292	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	0.3	VALID	0	2	0	1	534	1596	1064	0	1e-6	3	1	yes	3	591ee703	0	-	1
mixed_fn	def	0.5	VALID	0	2	0	1	472	1410	940	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	0.8	VALID	0	2	0	1	472	1410	940	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	0.9	VALID	0	2	0	1	472	1410	940	0	1e-6	3	1	yes	3	591ee703	0	-	1
mixed_fn	def	1.0	VALID	0	2	0	1	442	1320	880	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	1.5	VALID	0	2	0	1	442	1320	880	0	1e-6	3	1	yes	4	591ee703	0	-	1
mixed_fn	def	2.0	VALID	0	2	0	1	442	1320	880	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	def	def	VALID	0	2	0	1	280	834	556	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	8	def	VALID	0	2	0	1	242	720	480	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	10	def	VALID	0	2	0	1	312	930	620	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	12	def	VALID	0	2	0	1	322	960	640	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	14	def	VALID	0	2	0	1	448	1338	892	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	16	def	VALID	0	2	0	1	460	1374	916	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	19	def	VALID	0	2	0	1	609	1821	1214	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	24	def	VALID	0	2	0	1	808	2418	1612	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	26	def	VALID	0	2	0	1	1010	3024	2016	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	32	def	VALID	0	2	0	1	1276	3822	2548	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	48	def	VALID	0	2	0	1	2522	7560	5040	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	64	def	VALID	0	2	0	1	4200	12594	8396	0	1e-6	3	1	yes	5	591ee703	0	-	1
rib_into_boss	def	0.2	VALID	0	2	0	1	160	474	316	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	def	0.3	VALID	0	2	0	1	160	474	316	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	def	0.5	VALID	0	2	0	1	160	474	316	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	def	0.8	VALID	0	2	0	1	496	1482	988	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	def	0.9	VALID	0	2	0	1	464	1386	924	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	def	1.0	VALID	0	2	0	1	420	1254	836	0	1e-6	3	1	yes	4	591ee703	0	-	1
rib_into_boss	def	1.5	VALID	0	2	0	1	324	966	644	0	1e-6	3	1	yes	3	591ee703	0	-	1
rib_into_boss	def	2.0	VALID	0	2	0	1	280	834	556	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	def	VALID	0	2	0	1	520	1554	1036	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	0.2	VALID	0	2	0	1	1147	3435	2290	0	1e-6	3	1	yes	3	591ee703	0	-	1
refused_neighbour	def	0.3	VALID	0	2	0	1	808	2418	1612	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	0.8	VALID	0	2	0	1	376	1122	748	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	0.9	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	1.0	VALID	0	2	0	1	298	888	592	0	1e-6	3	1	yes	3	591ee703	0	-	1
refused_neighbour	def	1.5	VALID	0	2	0	1	259	771	514	0	1e-6	3	1	yes	4	591ee703	0	-	1
refused_neighbour	def	2.0	VALID	0	2	0	1	193	573	382	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	def	VALID	0	2	0	1	597	1785	1190	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_big	def	0.2	VALID	0	2	0	1	5679	17031	11354	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	0.3	VALID	0	2	0	1	3777	11325	7550	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	0.5	VALID	0	2	0	1	2277	6825	4550	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	0.8	VALID	0	2	0	1	1461	4377	2918	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	0.9	VALID	0	2	0	1	1293	3873	2582	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	1.0	VALID	0	2	0	1	1179	3531	2354	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_big	def	1.5	VALID	0	2	0	1	777	2325	1550	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_big	def	2.0	VALID	0	2	0	1	621	1857	1238	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	def	VALID	0	2	0	1	234	696	464	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	0.2	VALID	0	2	0	1	1390	4164	2776	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	0.3	VALID	0	2	0	1	934	2796	1864	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_crowded	def	0.5	VALID	0	2	0	1	568	1698	1132	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	0.8	VALID	0	2	0	1	394	1176	784	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	0.9	VALID	0	2	0	1	352	1050	700	0	1e-6	3	1	yes	3	591ee703	0	-	1
elbow_crowded	def	1.0	VALID	0	2	0	1	310	924	616	0	1e-6	3	1	yes	4	591ee703	0	-	1
elbow_crowded	def	1.5	VALID	0	2	0	1	218	648	432	0	1e-6	3	1	yes	4	591ee703	0	-	1
